group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Compiling fibonacci.mufi,,,,,1681430.0,ns,2
Compiling fibonacci.mufi,,,,,3358948.0,ns,4
Compiling fibonacci.mufi,,,,,5047222.0,ns,6
Compiling fibonacci.mufi,,,,,7801763.0,ns,8
Compiling fibonacci.mufi,,,,,8460297.0,ns,10
Compiling fibonacci.mufi,,,,,10802915.0,ns,12
Compiling fibonacci.mufi,,,,,11801925.0,ns,14
Compiling fibonacci.mufi,,,,,13562275.0,ns,16
Compiling fibonacci.mufi,,,,,15204594.0,ns,18
Compiling fibonacci.mufi,,,,,16838671.0,ns,20
Compiling fibonacci.mufi,,,,,18555999.0,ns,22
Compiling fibonacci.mufi,,,,,20183092.0,ns,24
Compiling fibonacci.mufi,,,,,21954338.0,ns,26
Compiling fibonacci.mufi,,,,,23575773.0,ns,28
Compiling fibonacci.mufi,,,,,25246727.0,ns,30
Compiling fibonacci.mufi,,,,,26886950.0,ns,32
Compiling fibonacci.mufi,,,,,28629979.0,ns,34
Compiling fibonacci.mufi,,,,,30288292.0,ns,36
Compiling fibonacci.mufi,,,,,31948630.0,ns,38
Compiling fibonacci.mufi,,,,,33632224.0,ns,40
Compiling fibonacci.mufi,,,,,35314492.0,ns,42
Compiling fibonacci.mufi,,,,,37018689.0,ns,44
Compiling fibonacci.mufi,,,,,38696697.0,ns,46
Compiling fibonacci.mufi,,,,,40390349.0,ns,48
Compiling fibonacci.mufi,,,,,42268731.0,ns,50
Compiling fibonacci.mufi,,,,,43732117.0,ns,52
Compiling fibonacci.mufi,,,,,45593457.0,ns,54
Compiling fibonacci.mufi,,,,,47185979.0,ns,56
Compiling fibonacci.mufi,,,,,48779408.0,ns,58
Compiling fibonacci.mufi,,,,,50503371.0,ns,60
Compiling fibonacci.mufi,,,,,52220210.0,ns,62
Compiling fibonacci.mufi,,,,,54027843.0,ns,64
Compiling fibonacci.mufi,,,,,55586353.0,ns,66
Compiling fibonacci.mufi,,,,,57266874.0,ns,68
Compiling fibonacci.mufi,,,,,58825383.0,ns,70
Compiling fibonacci.mufi,,,,,60551231.0,ns,72
Compiling fibonacci.mufi,,,,,62456363.0,ns,74
Compiling fibonacci.mufi,,,,,63946637.0,ns,76
Compiling fibonacci.mufi,,,,,65611934.0,ns,78
Compiling fibonacci.mufi,,,,,67354544.0,ns,80
Compiling fibonacci.mufi,,,,,69045542.0,ns,82
Compiling fibonacci.mufi,,,,,70694705.0,ns,84
Compiling fibonacci.mufi,,,,,72343589.0,ns,86
Compiling fibonacci.mufi,,,,,74265831.0,ns,88
Compiling fibonacci.mufi,,,,,75940206.0,ns,90
Compiling fibonacci.mufi,,,,,77352397.0,ns,92
